ESTUDIANTE,promediohistorico,promedioasistencia,# de Semestre,Desertor
Estudiante 46,6.783333333333334,86.16666666666667,2,0
Estudiante 460,6.43,96.0,1,1
Estudiante 461,7.93,96.0,1,1
Estudiante 462,9.44,100.0,1,1
Estudiante 463,8.5,100.0,1,1
Estudiante 464,7.61,93.0,1,1
Estudiante 465,2.74,0.0,1,1
Estudiante 466,8.87,96.0,1,1
Estudiante 467,8.16,100.0,1,1
Estudiante 468,8.77,100.0,1,1
Estudiante 469,7.54,76.0,1,1
Estudiante 47,8.513571428571428,99.78571428571429,2,0
Estudiante 470,7.64,94.0,1,1
Estudiante 471,6.33,94.0,1,1
Estudiante 472,8.74,84.0,2,1
Estudiante 473,7.79,75.0,2,1
Estudiante 474,8.57,84.0,2,1
Estudiante 475,6.07,100.0,2,1
Estudiante 476,9.04,100.0,2,1
Estudiante 477,9.28,100.0,2,1
Estudiante 478,8.37,82.0,2,1
Estudiante 479,7.58,75.0,2,1
Estudiante 48,0.0,0.0,1,1
Estudiante 480,7.35,90.0,2,1
Estudiante 481,7.78,94.0,2,1
Estudiante 482,8.57,88.0,2,1
Estudiante 483,6.93,81.0,2,1
Estudiante 484,8.27,84.0,2,1
Estudiante 485,8.82,94.0,2,1
Estudiante 486,8.57,88.0,2,1
Estudiante 487,8.61,94.0,2,1
Estudiante 488,9.63,96.0,2,1
Estudiante 49,9.207647058823529,99.3529411764706,3,0
Estudiante 5,7.287000000000001,97.5,1,0
Estudiante 50,8.545,98.92857142857143,2,0
Estudiante 51,8.567333333333332,99.26666666666667,2,0
Estudiante 52,4.42076923076923,53.92307692307692,1,1
Estudiante 53,7.930000000000001,93.93333333333334,3,0
Estudiante 54,2.05,66.0,1,1
Estudiante 55,8.83,96.35714285714286,2,0
Estudiante 56,8.187692307692307,99.07692307692308,2,0
Estudiante 57,5.576249999999999,76.08333333333333,3,0
Estudiante 58,8.739411764705881,99.11764705882354,3,0
Estudiante 59,8.1775,94.25,2,0
Estudiante 6,9.3,99.0625,2,0
Estudiante 60,6.284400000000001,78.56,2,0
Estudiante 61,7.954285714285715,94.57142857142857,1,1
Estudiante 62,0.6671428571428571,0.0,1,1
Estudiante 63,1.747142857142857,30.571428571428573,1,1
Estudiante 64,8.726875,95.5625,2,0
Estudiante 65,8.726428571428572,98.78571428571429,2,0
Estudiante 66,8.632142857142856,98.5,2,0
Estudiante 67,4.465,75.3,1,0
Estudiante 68,8.652,99.0,2,0
Estudiante 69,5.8374999999999995,90.41666666666667,1,0
Estudiante 7,7.765,97.28571428571429,3,0
Estudiante 70,7.698571428571428,96.14285714285714,1,1
Estudiante 71,9.136470588235294,99.3529411764706,3,0
Estudiante 72,8.968571428571428,98.28571428571429,2,0
Estudiante 73,9.146428571428572,99.07142857142857,2,0
Estudiante 74,8.494375,98.8125,2,0
Estudiante 75,8.215333333333332,97.26666666666667,2,0
Estudiante 76,5.31923076923077,73.23076923076923,2,0
Estudiante 77,0.0,0.0,1,1
Estudiante 78,0.4785714285714286,14.285714285714286,1,1
Estudiante 79,0.0,0.0,1,1
Estudiante 8,8.580588235294117,99.3529411764706,3,0
Estudiante 80,8.50125,95.5,3,0
Estudiante 81,7.484782608695652,86.26086956521739,4,0
Estudiante 82,7.6525,98.33333333333333,2,1
Estudiante 83,5.416363636363636,71.68181818181819,4,0
Estudiante 84,8.1292,93.72,4,0
Estudiante 85,7.930000000000001,93.81818181818181,4,0
Estudiante 86,4.925,58.3,2,1
Estudiante 87,7.8,97.0,1,1
Estudiante 88,6.598571428571428,85.14285714285714,1,0
Estudiante 89,8.99,94.0,1,1
Estudiante 9,0.0,0.0,1,1
Estudiante 90,0.0,0.0,1,1
Estudiante 91,0.0,0.0,1,1
Estudiante 92,4.72,90.0,1,1
Estudiante 93,0.0,0.0,1,1
Estudiante 94,3.79,50.0,1,1
Estudiante 95,0.0,0.0,1,1
Estudiante 96,7.0,100.0,1,1
Estudiante 97,0.0,0.0,1,1
Estudiante 98,0.0,0.0,1,1
Estudiante 99,9.5,100.0,1,1
